review_id,canonical_place_id,place_name,place_category,reviewer_rating,review_text_raw,review_text_clean,actual_label,predicted_label,error_type,analysis_tags
resto-hotel-v2_004975,place_00078,Damasus Nataboan Resto,restoran,3.0,"Very nice restaurant with a view. It is located by Toba Lake. We came here by boa after short visitvto Samosir Island. You can reach this place by car but with a boat is another experience. We came here as part of the tour. The scenery was beautiful. You eat with the view of the lake. The food was ready when we arrived. Overall, the food is standard. They use local fish from the lake, I believe. The service was very good. It was a good experience. There are local kids waiting forcyou to throw coin to the lake so yhey can dive to find it. There are also many fishes waiting for you to throw leftover food to the lake. You can also ee egrets. Will come again next time.","Very nice restaurant with a view. It is located by Toba Lake. We came here by boa after short visitvto Samosir Island. You can reach this place by car but with a boat is another experience. We came here as part of the tour. The scenery was beautiful. You eat with the view of the lake. The food was ready when we arrived. Overall, the food is standard. They use local fish from the lake, I believe. The service was very good. It was a good experience. There are local kids waiting forcyou to throw coin to the lake so yhey can dive to find it. There are also many fishes waiting for you to throw leftover food to the lake. You can also ee egrets. Will come again next time.",positive,negative,false_positive_negative_class,LOCAL_NAME_OR_TERM
resto-hotel-v2_008669,place_00223,Rumah Makan Elizabeth,restoran,3.0,Hot tea and cofee,Hot tea and cofee,neutral,negative,false_positive_negative_class,VERY_SHORT_TEXT
resto-hotel-v2_008948,place_00241,Rumah Makan %22Pondok Karen%22,restoran,3.0,Makan malam,Makan malam,neutral,negative,false_positive_negative_class,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
resto-hotel-v2_009163,place_00236,Rumah Makan Muslim Hajjah Zuleka,restoran,3.0,Muslim dan banyak pilihan,Muslim dan banyak pilihan,positive,negative,false_positive_negative_class,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
resto-hotel-v2_009182,place_00297,Warkop Panorama I Panatapan Parapat,restoran,4.0,Keliatan dari luar biasa aja. Tempatnya selalu ramai Kalau datang agak siang jam 1 sering sudah habis Lokasi biasa aja Harga termasuk ok Puas dagingnya potongan besar besar Sopnya kentang bukan sop daging,Keliatan dari luar biasa aja. Tempatnya selalu ramai Kalau datang agak siang jam 1 sering sudah habis Lokasi biasa aja Harga termasuk ok Puas dagingnya potongan besar besar Sopnya kentang bukan sop daging,positive,negative,false_positive_negative_class,GENERAL_MODEL_ERROR
wisata-v2_002436,place_00064,Bukit Senyum,wisata,3.0,amazing,amazing,positive,negative,false_positive_negative_class,VERY_SHORT_TEXT
wisata-v2_007904,place_00271,Taman Eden 100,wisata,3.0,Luas tapi banyak nyamuk,Luas tapi banyak nyamuk,positive,negative,false_positive_negative_class,VERY_SHORT_TEXT
wisata-v2_008013,place_00323,Gereja Hkbp Dr.Il.Nommensen Sigumpar,wisata,5.0,ayah,ayah,neutral,negative,false_positive_negative_class,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
wisata-v2_011574,place_00373,Tao Silalahi Hotel,wisata,4.0,B aja,B aja,neutral,negative,false_positive_negative_class,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
wisata-v2_012000,place_00259,Museum Simalungun,wisata,5.0,Jam,Jam,neutral,negative,false_positive_negative_class,VERY_SHORT_TEXT
wisata-v2_012029,place_00259,Museum Simalungun,wisata,4.0,"Saya rasa Museum ini kurang dilirik dinas pariwisata Siantar, padahal cocok untuk diperkenalkan kepada generasi muda sekarang, untuk edukasi terutama di era sekarang yang dimana anak-anak sudah mulai lupa adat atau budaya lokal.","Saya rasa Museum ini kurang dilirik dinas pariwisata Siantar, padahal cocok untuk diperkenalkan kepada generasi muda sekarang, untuk edukasi terutama di era sekarang yang dimana anak-anak sudah mulai lupa adat atau budaya lokal.",neutral,negative,false_positive_negative_class,HIGH_RATING_WITH_NEGATIVE_TEXT
wisata-v2_012031,place_00259,Museum Simalungun,wisata,5.0,"Museumnya sangat mengedukasi, walaupun masih ada beberapa tempat yang kurang perawatan, san museum nya masi sepi pengunjung, mungkin karena kurang promosi pasca covid. Semoga kedepannya bisa ramai kembali","Museumnya sangat mengedukasi, walaupun masih ada beberapa tempat yang kurang perawatan, san museum nya masi sepi pengunjung, mungkin karena kurang promosi pasca covid. Semoga kedepannya bisa ramai kembali",neutral,negative,false_positive_negative_class,HIGH_RATING_WITH_NEGATIVE_TEXT
wisata-v2_012040,place_00259,Museum Simalungun,wisata,2.0,"You need to climb a steep wooden ladder to the ""museum"". At the entrance a middle-aged woman in yellow polo-shirt said she was a tour guide. Upon asking she told me the ticket counter is upstairs and the ticket price is 5k. ...","You need to climb a steep wooden ladder to the ""museum"". At the entrance a middle-aged woman in yellow polo-shirt said she was a tour guide. Upon asking she told me the ticket counter is upstairs and the ticket price is 5k. ...",neutral,negative,false_positive_negative_class,GENERAL_MODEL_ERROR
resto-hotel-v2_003778,place_00283,Tepi Danau Bistro,restoran,3.0,Makan,Makan,neutral,positive,other_misclassification,VERY_SHORT_TEXT
resto-hotel-v2_007037,place_00055,Bpk Torang Dan Ikan Bakar,restoran,5.0,Oke.,Oke.,positive,neutral,other_misclassification,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
resto-hotel-v2_007595,place_00185,Pondok Kolding Pangururan.Samosir,restoran,3.0,Antri,Antri,neutral,positive,other_misclassification,VERY_SHORT_TEXT
resto-hotel-v2_008712,place_00223,Rumah Makan Elizabeth,restoran,3.0,Berada di penatapan Parapat 🤩 ...,Berada di penatapan Parapat 🤩 ...,neutral,positive,other_misclassification,LOCAL_NAME_OR_TERM
resto-hotel-v2_008764,place_00184,Pondok Azzahra,restoran,3.0,"Ambilnya disini, makannya di kapal","Ambilnya disini, makannya di kapal",neutral,positive,other_misclassification,LOW_PLACE_REVIEW_COUNT
wisata-v2_002185,place_00064,Bukit Senyum,wisata,3.0,Tempat wisata liburan sekolah paling asyik,Tempat wisata liburan sekolah paling asyik,neutral,positive,other_misclassification,GENERAL_MODEL_ERROR
wisata-v2_002412,place_00064,Bukit Senyum,wisata,5.0,Oke.,Oke.,positive,neutral,other_misclassification,VERY_SHORT_TEXT
wisata-v2_006047,place_00039,Batu Gantung,wisata,4.0,Unik,Unik,positive,neutral,other_misclassification,VERY_SHORT_TEXT
wisata-v2_006139,place_00039,Batu Gantung,wisata,5.0,gg,gg,positive,neutral,other_misclassification,VERY_SHORT_TEXT
wisata-v2_007863,place_00271,Taman Eden 100,wisata,5.0,Masih alami,Masih alami,neutral,positive,other_misclassification,VERY_SHORT_TEXT
wisata-v2_007923,place_00060,Bukit Doa,wisata,3.0,Less maintenance and a lot of trash,Less maintenance and a lot of trash,neutral,positive,other_misclassification,LOW_PLACE_REVIEW_COUNT
wisata-v2_009972,place_00058,Bukit Beta Tuk-Tuk,wisata,3.0,Bukit Beta Tuk tuk,Bukit Beta Tuk tuk,neutral,positive,other_misclassification,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
wisata-v2_011647,place_00373,Tao Silalahi Hotel,wisata,3.0,Layak untuk dikunjungi kembali,Layak untuk dikunjungi kembali,neutral,positive,other_misclassification,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
wisata-v2_012441,place_00347,Pemandian Air Panas Tamaro,wisata,3.0,Is beautiful,Is beautiful,positive,neutral,other_misclassification,VERY_SHORT_TEXT
