review_id,canonical_place_id,manual_sentiment_label,split
resto-hotel-v2_001724,place_00105,neutral,validation
resto-hotel-v2_001780,place_00105,neutral,validation
resto-hotel-v2_001793,place_00105,neutral,validation
resto-hotel-v2_001848,place_00147,neutral,train
resto-hotel-v2_001856,place_00147,positive,train
resto-hotel-v2_001859,place_00147,neutral,train
resto-hotel-v2_001869,place_00147,positive,train
resto-hotel-v2_001916,place_00147,positive,train
resto-hotel-v2_001922,place_00284,negative,train
resto-hotel-v2_001927,place_00284,negative,train
resto-hotel-v2_001948,place_00104,negative,test
resto-hotel-v2_001977,place_00314,negative,validation
resto-hotel-v2_001980,place_00314,positive,validation
resto-hotel-v2_001991,place_00187,negative,train
resto-hotel-v2_002031,place_00113,positive,train
resto-hotel-v2_002233,place_00270,positive,test
resto-hotel-v2_002365,place_00289,negative,test
resto-hotel-v2_002413,place_00289,positive,test
resto-hotel-v2_002466,place_00289,positive,test
resto-hotel-v2_002525,place_00289,neutral,test
resto-hotel-v2_002551,place_00289,positive,test
resto-hotel-v2_002828,place_00217,neutral,train
resto-hotel-v2_002863,place_00072,negative,train
resto-hotel-v2_002944,place_00072,neutral,train
resto-hotel-v2_002975,place_00072,negative,train
resto-hotel-v2_002985,place_00072,neutral,train
resto-hotel-v2_003033,place_00072,negative,train
resto-hotel-v2_003082,place_00072,positive,train
resto-hotel-v2_003086,place_00072,positive,train
resto-hotel-v2_003094,place_00072,negative,train
resto-hotel-v2_003104,place_00293,positive,train
resto-hotel-v2_003126,place_00102,positive,train
resto-hotel-v2_003286,place_00286,neutral,train
resto-hotel-v2_003302,place_00286,negative,train
resto-hotel-v2_003309,place_00286,positive,train
resto-hotel-v2_003346,place_00286,positive,train
resto-hotel-v2_003349,place_00286,negative,train
resto-hotel-v2_003352,place_00286,positive,train
resto-hotel-v2_003477,place_00025,negative,test
resto-hotel-v2_003489,place_00240,positive,train
resto-hotel-v2_003499,place_00240,neutral,train
resto-hotel-v2_003507,place_00240,positive,train
resto-hotel-v2_003610,place_00034,negative,train
resto-hotel-v2_003611,place_00034,negative,train
resto-hotel-v2_003612,place_00034,neutral,train
resto-hotel-v2_003613,place_00109,positive,validation
resto-hotel-v2_003614,place_00109,negative,validation
resto-hotel-v2_003655,place_00109,neutral,validation
resto-hotel-v2_003660,place_00109,positive,validation
resto-hotel-v2_003683,place_00283,negative,test
resto-hotel-v2_003715,place_00283,negative,test
resto-hotel-v2_003719,place_00283,negative,test
resto-hotel-v2_003753,place_00283,negative,test
resto-hotel-v2_003778,place_00283,neutral,test
resto-hotel-v2_003793,place_00283,negative,test
resto-hotel-v2_003818,place_00283,negative,test
resto-hotel-v2_003843,place_00283,positive,test
resto-hotel-v2_003867,place_00283,negative,test
resto-hotel-v2_003883,place_00125,neutral,validation
resto-hotel-v2_003885,place_00219,negative,validation
resto-hotel-v2_003895,place_00033,positive,train
resto-hotel-v2_003898,place_00033,positive,train
resto-hotel-v2_003940,place_00303,neutral,train
resto-hotel-v2_003955,place_00303,neutral,train
resto-hotel-v2_003965,place_00303,positive,train
resto-hotel-v2_003966,place_00303,neutral,train
resto-hotel-v2_004059,place_00122,positive,test
resto-hotel-v2_004062,place_00122,positive,test
resto-hotel-v2_004073,place_00122,positive,test
resto-hotel-v2_004083,place_00329,negative,validation
resto-hotel-v2_004086,place_00329,negative,validation
resto-hotel-v2_004088,place_00329,negative,validation
resto-hotel-v2_004090,place_00329,neutral,validation
resto-hotel-v2_004100,place_00329,negative,validation
resto-hotel-v2_004104,place_00329,negative,validation
resto-hotel-v2_004110,place_00248,positive,test
resto-hotel-v2_004119,place_00235,negative,validation
resto-hotel-v2_004136,place_00235,negative,validation
resto-hotel-v2_004145,place_00222,neutral,test
resto-hotel-v2_004224,place_00300,positive,train
resto-hotel-v2_004258,place_00228,neutral,train
resto-hotel-v2_004266,place_00073,neutral,train
resto-hotel-v2_004273,place_00073,positive,train
resto-hotel-v2_004276,place_00073,negative,train
resto-hotel-v2_004286,place_00073,positive,train
resto-hotel-v2_004301,place_00073,positive,train
resto-hotel-v2_004310,place_00073,positive,train
resto-hotel-v2_004336,place_00073,positive,train
resto-hotel-v2_004354,place_00285,negative,train
resto-hotel-v2_004368,place_00285,negative,train
resto-hotel-v2_004400,place_00036,negative,test
resto-hotel-v2_004401,place_00036,positive,test
resto-hotel-v2_004404,place_00036,neutral,test
resto-hotel-v2_004408,place_00036,neutral,test
resto-hotel-v2_004416,place_00036,positive,test
resto-hotel-v2_004426,place_00046,negative,validation
resto-hotel-v2_004613,place_00131,positive,train
resto-hotel-v2_004862,place_00078,positive,test
resto-hotel-v2_004867,place_00078,negative,test
resto-hotel-v2_004887,place_00078,negative,test
resto-hotel-v2_004889,place_00078,negative,test
resto-hotel-v2_004891,place_00078,negative,test
resto-hotel-v2_004896,place_00078,negative,test
resto-hotel-v2_004924,place_00078,negative,test
resto-hotel-v2_004925,place_00078,positive,test
resto-hotel-v2_004927,place_00078,negative,test
resto-hotel-v2_004941,place_00078,neutral,test
resto-hotel-v2_004967,place_00078,positive,test
resto-hotel-v2_004975,place_00078,positive,test
resto-hotel-v2_005026,place_00137,positive,train
resto-hotel-v2_005102,place_00023,positive,train
resto-hotel-v2_005110,place_00023,negative,train
resto-hotel-v2_005113,place_00023,negative,train
resto-hotel-v2_005116,place_00023,negative,train
resto-hotel-v2_005117,place_00023,negative,train
resto-hotel-v2_005128,place_00023,negative,train
resto-hotel-v2_005137,place_00023,negative,train
resto-hotel-v2_005145,place_00023,negative,train
resto-hotel-v2_005151,place_00023,negative,train
resto-hotel-v2_005152,place_00023,negative,train
resto-hotel-v2_005155,place_00023,positive,train
resto-hotel-v2_005169,place_00023,negative,train
resto-hotel-v2_005226,place_00116,negative,train
resto-hotel-v2_005282,place_00116,negative,train
resto-hotel-v2_005323,place_00116,positive,train
resto-hotel-v2_005412,place_00047,positive,validation
resto-hotel-v2_005454,place_00047,negative,validation
resto-hotel-v2_005480,place_00047,neutral,validation
resto-hotel-v2_005484,place_00047,negative,validation
resto-hotel-v2_005487,place_00047,positive,validation
resto-hotel-v2_005503,place_00047,negative,validation
resto-hotel-v2_005505,place_00047,positive,validation
resto-hotel-v2_005515,place_00047,positive,validation
resto-hotel-v2_005555,place_00224,positive,validation
resto-hotel-v2_005659,place_00265,positive,validation
resto-hotel-v2_005677,place_00265,neutral,validation
resto-hotel-v2_005687,place_00265,neutral,validation
resto-hotel-v2_005706,place_00265,negative,validation
resto-hotel-v2_005711,place_00265,negative,validation
resto-hotel-v2_005762,place_00233,negative,train
resto-hotel-v2_005775,place_00233,negative,train
resto-hotel-v2_005792,place_00233,positive,train
resto-hotel-v2_005793,place_00233,positive,train
resto-hotel-v2_005854,place_00233,negative,train
resto-hotel-v2_005865,place_00233,neutral,train
resto-hotel-v2_005866,place_00233,positive,train
resto-hotel-v2_005870,place_00233,negative,train
resto-hotel-v2_005874,place_00233,negative,train
resto-hotel-v2_005904,place_00233,positive,train
resto-hotel-v2_005907,place_00233,negative,train
resto-hotel-v2_005915,place_00233,negative,train
resto-hotel-v2_005933,place_00197,positive,validation
resto-hotel-v2_005935,place_00197,negative,validation
resto-hotel-v2_005960,place_00197,negative,validation
resto-hotel-v2_006023,place_00197,neutral,validation
resto-hotel-v2_006036,place_00197,negative,validation
resto-hotel-v2_006072,place_00197,neutral,validation
resto-hotel-v2_006073,place_00197,positive,validation
resto-hotel-v2_006075,place_00197,positive,validation
resto-hotel-v2_006113,place_00197,negative,validation
resto-hotel-v2_006114,place_00197,negative,validation
resto-hotel-v2_006158,place_00256,negative,train
resto-hotel-v2_006177,place_00256,negative,train
resto-hotel-v2_006191,place_00256,negative,train
resto-hotel-v2_006221,place_00256,negative,train
resto-hotel-v2_006224,place_00256,neutral,train
resto-hotel-v2_006240,place_00126,negative,train
resto-hotel-v2_006274,place_00126,negative,train
resto-hotel-v2_006288,place_00126,neutral,train
resto-hotel-v2_006293,place_00126,negative,train
resto-hotel-v2_006317,place_00126,neutral,train
resto-hotel-v2_006339,place_00126,positive,train
resto-hotel-v2_006345,place_00126,negative,train
resto-hotel-v2_006378,place_00126,negative,train
resto-hotel-v2_006385,place_00126,positive,train
resto-hotel-v2_006397,place_00126,positive,train
resto-hotel-v2_006452,place_00138,positive,train
resto-hotel-v2_006454,place_00138,positive,train
resto-hotel-v2_006459,place_00138,negative,train
resto-hotel-v2_006523,place_00026,neutral,train
resto-hotel-v2_006524,place_00026,positive,train
resto-hotel-v2_006525,place_00026,neutral,train
resto-hotel-v2_006644,place_00280,positive,train
resto-hotel-v2_006658,place_00280,positive,train
resto-hotel-v2_006664,place_00280,negative,train
resto-hotel-v2_006687,place_00280,negative,train
resto-hotel-v2_006769,place_00307,positive,train
resto-hotel-v2_006808,place_00307,negative,train
resto-hotel-v2_006818,place_00307,neutral,train
resto-hotel-v2_006819,place_00307,negative,train
resto-hotel-v2_006834,place_00307,positive,train
resto-hotel-v2_006846,place_00307,negative,train
resto-hotel-v2_006876,place_00307,neutral,train
resto-hotel-v2_006883,place_00307,positive,train
resto-hotel-v2_006976,place_00238,negative,validation
resto-hotel-v2_007005,place_00238,positive,validation
resto-hotel-v2_007009,place_00238,neutral,validation
resto-hotel-v2_007026,place_00238,neutral,validation
resto-hotel-v2_007037,place_00055,positive,test
resto-hotel-v2_007061,place_00088,negative,validation
resto-hotel-v2_007124,place_00088,positive,validation
resto-hotel-v2_007187,place_00215,negative,test
resto-hotel-v2_007195,place_00215,negative,test
resto-hotel-v2_007207,place_00263,negative,train
resto-hotel-v2_007234,place_00263,negative,train
resto-hotel-v2_007352,place_00155,negative,train
resto-hotel-v2_007364,place_00155,negative,train
resto-hotel-v2_007366,place_00155,positive,train
resto-hotel-v2_007373,place_00155,negative,train
resto-hotel-v2_007381,place_00155,negative,train
resto-hotel-v2_007384,place_00155,positive,train
resto-hotel-v2_007405,place_00155,neutral,train
resto-hotel-v2_007411,place_00155,neutral,train
resto-hotel-v2_007417,place_00155,positive,train
resto-hotel-v2_007418,place_00155,positive,train
resto-hotel-v2_007537,place_00301,positive,validation
resto-hotel-v2_007563,place_00301,positive,validation
resto-hotel-v2_007595,place_00185,neutral,test
resto-hotel-v2_007597,place_00185,negative,test
resto-hotel-v2_007602,place_00185,negative,test
resto-hotel-v2_007604,place_00185,negative,test
resto-hotel-v2_007611,place_00185,negative,test
resto-hotel-v2_007641,place_00229,negative,train
resto-hotel-v2_007645,place_00229,positive,train
resto-hotel-v2_007664,place_00250,negative,train
resto-hotel-v2_007671,place_00250,neutral,train
resto-hotel-v2_007688,place_00250,positive,train
resto-hotel-v2_007691,place_00250,negative,train
resto-hotel-v2_007773,place_00250,negative,train
resto-hotel-v2_007775,place_00250,neutral,train
resto-hotel-v2_007800,place_00250,negative,train
resto-hotel-v2_007807,place_00250,negative,train
resto-hotel-v2_007871,place_00252,positive,train
resto-hotel-v2_007882,place_00001,neutral,test
resto-hotel-v2_007922,place_00358,negative,train
resto-hotel-v2_007926,place_00358,positive,train
resto-hotel-v2_007935,place_00051,neutral,train
resto-hotel-v2_007946,place_00051,neutral,train
resto-hotel-v2_008041,place_00152,negative,train
resto-hotel-v2_008080,place_00152,negative,train
resto-hotel-v2_008251,place_00205,negative,test
resto-hotel-v2_008260,place_00205,negative,test
resto-hotel-v2_008304,place_00365,neutral,validation
resto-hotel-v2_008325,place_00327,positive,train
resto-hotel-v2_008327,place_00327,negative,train
resto-hotel-v2_008335,place_00130,positive,train
resto-hotel-v2_008340,place_00376,positive,train
resto-hotel-v2_008397,place_00203,positive,test
resto-hotel-v2_008457,place_00201,positive,validation
resto-hotel-v2_008508,place_00154,negative,train
resto-hotel-v2_008629,place_00234,negative,test
resto-hotel-v2_008634,place_00234,positive,test
resto-hotel-v2_008645,place_00234,positive,test
resto-hotel-v2_008660,place_00223,negative,test
resto-hotel-v2_008661,place_00223,negative,test
resto-hotel-v2_008669,place_00223,neutral,test
resto-hotel-v2_008685,place_00223,positive,test
resto-hotel-v2_008712,place_00223,neutral,test
resto-hotel-v2_008764,place_00184,neutral,test
resto-hotel-v2_008775,place_00184,neutral,test
resto-hotel-v2_008834,place_00293,positive,train
resto-hotel-v2_008895,place_00027,negative,validation
resto-hotel-v2_008904,place_00241,negative,test
resto-hotel-v2_008948,place_00241,neutral,test
resto-hotel-v2_008952,place_00298,positive,train
resto-hotel-v2_008954,place_00298,negative,train
resto-hotel-v2_008979,place_00298,negative,train
resto-hotel-v2_008980,place_00298,positive,train
resto-hotel-v2_008981,place_00298,positive,train
resto-hotel-v2_008984,place_00298,positive,train
resto-hotel-v2_008992,place_00298,positive,train
resto-hotel-v2_009015,place_00298,positive,train
resto-hotel-v2_009016,place_00298,positive,train
resto-hotel-v2_009028,place_00298,neutral,train
resto-hotel-v2_009035,place_00183,neutral,train
resto-hotel-v2_009045,place_00247,negative,validation
resto-hotel-v2_009067,place_00247,negative,validation
resto-hotel-v2_009098,place_00212,negative,train
resto-hotel-v2_009100,place_00212,negative,train
resto-hotel-v2_009102,place_00212,negative,train
resto-hotel-v2_009106,place_00212,negative,train
resto-hotel-v2_009117,place_00212,neutral,train
resto-hotel-v2_009121,place_00212,positive,train
resto-hotel-v2_009132,place_00212,neutral,train
resto-hotel-v2_009147,place_00212,neutral,train
resto-hotel-v2_009158,place_00212,negative,train
resto-hotel-v2_009160,place_00212,positive,train
resto-hotel-v2_009163,place_00236,positive,test
resto-hotel-v2_009182,place_00297,positive,test
resto-hotel-v2_009195,place_00297,positive,test
resto-hotel-v2_009198,place_00297,negative,test
resto-hotel-v2_009201,place_00297,positive,test
resto-hotel-v2_009215,place_00297,positive,test
resto-hotel-v2_009301,place_00118,neutral,train
resto-hotel-v2_009326,place_00118,positive,train
resto-hotel-v2_009328,place_00118,negative,train
resto-hotel-v2_009340,place_00118,neutral,train
resto-hotel-v2_009342,place_00118,positive,train
resto-hotel-v2_009354,place_00118,negative,train
resto-hotel-v2_009366,place_00118,positive,train
resto-hotel-v2_009369,place_00118,negative,train
resto-hotel-v2_009371,place_00118,negative,train
resto-hotel-v2_009382,place_00118,negative,train
resto-hotel-v2_009395,place_00230,positive,train
resto-hotel-v2_009428,place_00360,negative,train
resto-hotel-v2_009453,place_00360,negative,train
resto-hotel-v2_009456,place_00360,negative,train
resto-hotel-v2_009459,place_00360,negative,train
resto-hotel-v2_009460,place_00360,negative,train
resto-hotel-v2_009461,place_00360,negative,train
resto-hotel-v2_009470,place_00360,positive,train
resto-hotel-v2_009472,place_00360,negative,train
resto-hotel-v2_009478,place_00360,negative,train
resto-hotel-v2_009489,place_00213,negative,validation
resto-hotel-v2_009523,place_00237,neutral,train
resto-hotel-v2_009571,place_00239,positive,test
resto-hotel-v2_009574,place_00239,negative,test
tempat-wisata-v1_000035,place_00013,positive,validation
tempat-wisata-v1_000036,place_00042,positive,train
wisata-v2_000015,place_00165,positive,train
wisata-v2_000023,place_00165,negative,train
wisata-v2_000032,place_00165,positive,train
wisata-v2_000039,place_00165,positive,train
wisata-v2_000090,place_00165,positive,train
wisata-v2_000092,place_00165,positive,train
wisata-v2_000125,place_00165,positive,train
wisata-v2_000165,place_00165,positive,train
wisata-v2_000166,place_00165,neutral,train
wisata-v2_000178,place_00165,neutral,train
wisata-v2_000207,place_00165,negative,train
wisata-v2_000211,place_00165,negative,train
wisata-v2_000242,place_00063,positive,train
wisata-v2_000327,place_00063,neutral,train
wisata-v2_000364,place_00012,neutral,train
wisata-v2_000365,place_00012,positive,train
wisata-v2_000434,place_00179,neutral,train
wisata-v2_000464,place_00311,positive,test
wisata-v2_000476,place_00311,positive,test
wisata-v2_000510,place_00311,positive,test
wisata-v2_000565,place_00069,positive,validation
wisata-v2_000570,place_00011,positive,train
wisata-v2_000714,place_00091,negative,train
wisata-v2_000759,place_00091,negative,train
wisata-v2_000760,place_00091,positive,train
wisata-v2_000777,place_00091,positive,train
wisata-v2_000887,place_00091,negative,train
wisata-v2_000898,place_00091,positive,train
wisata-v2_001045,place_00091,negative,train
wisata-v2_001147,place_00091,positive,train
wisata-v2_001188,place_00091,negative,train
wisata-v2_001229,place_00091,negative,train
wisata-v2_001240,place_00091,positive,train
wisata-v2_001287,place_00091,positive,train
wisata-v2_001407,place_00313,neutral,train
wisata-v2_001425,place_00313,positive,train
wisata-v2_001451,place_00313,negative,train
wisata-v2_001466,place_00313,negative,train
wisata-v2_001473,place_00313,positive,train
wisata-v2_001490,place_00019,neutral,train
wisata-v2_001493,place_00019,positive,train
wisata-v2_001499,place_00019,positive,train
wisata-v2_001523,place_00019,positive,train
wisata-v2_001566,place_00019,positive,train
wisata-v2_001569,place_00019,positive,train
wisata-v2_001609,place_00015,positive,train
wisata-v2_001620,place_00015,positive,train
wisata-v2_001625,place_00015,negative,train
wisata-v2_001643,place_00015,neutral,train
wisata-v2_001656,place_00015,negative,train
wisata-v2_001657,place_00015,neutral,train
wisata-v2_001663,place_00015,positive,train
wisata-v2_001722,place_00192,positive,validation
wisata-v2_001791,place_00192,positive,validation
wisata-v2_001818,place_00192,positive,validation
wisata-v2_001873,place_00192,positive,validation
wisata-v2_001882,place_00192,positive,validation
wisata-v2_001922,place_00164,negative,train
wisata-v2_001929,place_00164,positive,train
wisata-v2_001933,place_00164,neutral,train
wisata-v2_001940,place_00164,positive,train
wisata-v2_001972,place_00049,negative,train
wisata-v2_002006,place_00049,neutral,train
wisata-v2_002046,place_00049,negative,train
wisata-v2_002091,place_00049,neutral,train
wisata-v2_002134,place_00049,negative,train
wisata-v2_002185,place_00064,neutral,test
wisata-v2_002193,place_00064,positive,test
wisata-v2_002199,place_00064,negative,test
wisata-v2_002258,place_00064,negative,test
wisata-v2_002292,place_00064,positive,test
wisata-v2_002297,place_00064,negative,test
wisata-v2_002405,place_00064,positive,test
wisata-v2_002412,place_00064,positive,test
wisata-v2_002424,place_00064,positive,test
wisata-v2_002436,place_00064,positive,test
wisata-v2_002466,place_00064,positive,test
wisata-v2_002534,place_00064,positive,test
wisata-v2_002599,place_00011,positive,train
wisata-v2_002613,place_00353,positive,train
wisata-v2_002616,place_00353,positive,train
wisata-v2_002623,place_00353,negative,train
wisata-v2_002640,place_00353,negative,train
wisata-v2_002651,place_00320,negative,train
wisata-v2_002669,place_00320,neutral,train
wisata-v2_002679,place_00320,positive,train
wisata-v2_002697,place_00335,positive,train
wisata-v2_002711,place_00335,neutral,train
wisata-v2_002723,place_00335,positive,train
wisata-v2_002731,place_00335,neutral,train
wisata-v2_002738,place_00335,positive,train
wisata-v2_002747,place_00335,negative,train
wisata-v2_002768,place_00335,negative,train
wisata-v2_002788,place_00335,positive,train
wisata-v2_002791,place_00335,neutral,train
wisata-v2_002803,place_00335,negative,train
wisata-v2_002826,place_00335,positive,train
wisata-v2_002857,place_00335,positive,train
wisata-v2_002888,place_00308,neutral,train
wisata-v2_002915,place_00319,neutral,train
wisata-v2_002970,place_00319,neutral,train
wisata-v2_002988,place_00319,positive,train
wisata-v2_003024,place_00042,negative,train
wisata-v2_003026,place_00042,negative,train
wisata-v2_003030,place_00042,positive,train
wisata-v2_003040,place_00042,negative,train
wisata-v2_003043,place_00042,positive,train
wisata-v2_003044,place_00042,positive,train
wisata-v2_003046,place_00042,negative,train
wisata-v2_003048,place_00079,negative,train
wisata-v2_003051,place_00079,negative,train
wisata-v2_003056,place_00079,positive,train
wisata-v2_003057,place_00079,positive,train
wisata-v2_003110,place_00079,positive,train
wisata-v2_003114,place_00079,positive,train
wisata-v2_003115,place_00079,negative,train
wisata-v2_003116,place_00079,negative,train
wisata-v2_003121,place_00079,neutral,train
wisata-v2_003122,place_00079,positive,train
wisata-v2_003123,place_00079,positive,train
wisata-v2_003124,place_00079,positive,train
wisata-v2_003142,place_00065,positive,test
wisata-v2_003163,place_00065,positive,test
wisata-v2_003171,place_00065,negative,test
wisata-v2_003181,place_00065,positive,test
wisata-v2_003298,place_00067,negative,validation
wisata-v2_003304,place_00067,neutral,validation
wisata-v2_003317,place_00067,neutral,validation
wisata-v2_003338,place_00368,neutral,train
wisata-v2_003340,place_00368,negative,train
wisata-v2_003342,place_00368,positive,train
wisata-v2_003366,place_00196,positive,train
wisata-v2_003379,place_00196,negative,train
wisata-v2_003384,place_00196,neutral,train
wisata-v2_003409,place_00196,negative,train
wisata-v2_003440,place_00196,neutral,train
wisata-v2_003491,place_00070,neutral,validation
wisata-v2_003664,place_00070,positive,validation
wisata-v2_003733,place_00321,positive,train
wisata-v2_003789,place_00321,positive,train
wisata-v2_003906,place_00321,negative,train
wisata-v2_004089,place_00321,positive,train
wisata-v2_004222,place_00321,positive,train
wisata-v2_004225,place_00321,positive,train
wisata-v2_004300,place_00321,negative,train
wisata-v2_004435,place_00321,positive,train
wisata-v2_004537,place_00321,positive,train
wisata-v2_004685,place_00321,negative,train
wisata-v2_004688,place_00321,negative,train
wisata-v2_004742,place_00321,positive,train
wisata-v2_005062,place_00041,neutral,train
wisata-v2_005066,place_00041,positive,train
wisata-v2_005067,place_00041,neutral,train
wisata-v2_005080,place_00041,neutral,train
wisata-v2_005087,place_00041,neutral,train
wisata-v2_005093,place_00043,positive,test
wisata-v2_005145,place_00291,positive,train
wisata-v2_005156,place_00291,positive,train
wisata-v2_005169,place_00291,positive,train
wisata-v2_005206,place_00291,positive,train
wisata-v2_005267,place_00081,negative,train
wisata-v2_005298,place_00059,positive,train
wisata-v2_005299,place_00059,positive,train
wisata-v2_005308,place_00059,positive,train
wisata-v2_005323,place_00059,positive,train
wisata-v2_005341,place_00059,positive,train
wisata-v2_005443,place_00168,positive,train
wisata-v2_005462,place_00168,positive,train
wisata-v2_005562,place_00003,positive,train
wisata-v2_005572,place_00003,negative,train
wisata-v2_005574,place_00003,negative,train
wisata-v2_005592,place_00003,negative,train
wisata-v2_005603,place_00003,negative,train
wisata-v2_005625,place_00003,positive,train
wisata-v2_005717,place_00003,negative,train
wisata-v2_005743,place_00003,negative,train
wisata-v2_005757,place_00003,negative,train
wisata-v2_005808,place_00003,negative,train
wisata-v2_005822,place_00003,negative,train
wisata-v2_005864,place_00003,positive,train
wisata-v2_005879,place_00180,positive,test
wisata-v2_005889,place_00180,positive,test
wisata-v2_005917,place_00180,negative,test
wisata-v2_005924,place_00180,positive,test
wisata-v2_005946,place_00180,negative,test
wisata-v2_006002,place_00180,positive,test
wisata-v2_006047,place_00039,positive,test
wisata-v2_006066,place_00039,negative,test
wisata-v2_006068,place_00039,positive,test
wisata-v2_006132,place_00039,neutral,test
wisata-v2_006139,place_00039,positive,test
wisata-v2_006150,place_00039,neutral,test
wisata-v2_006209,place_00039,positive,test
wisata-v2_006218,place_00039,neutral,test
wisata-v2_006223,place_00039,positive,test
wisata-v2_006234,place_00039,neutral,test
wisata-v2_006264,place_00039,neutral,test
wisata-v2_006305,place_00039,positive,test
wisata-v2_006325,place_00097,positive,test
wisata-v2_006353,place_00097,positive,test
wisata-v2_006375,place_00352,negative,validation
wisata-v2_006394,place_00068,negative,train
wisata-v2_006412,place_00068,positive,train
wisata-v2_006414,place_00068,positive,train
wisata-v2_006452,place_00068,neutral,train
wisata-v2_006453,place_00068,neutral,train
wisata-v2_006466,place_00068,neutral,train
wisata-v2_006473,place_00068,positive,train
wisata-v2_006523,place_00007,positive,train
wisata-v2_006542,place_00007,positive,train
wisata-v2_006581,place_00007,neutral,train
wisata-v2_006618,place_00007,positive,train
wisata-v2_006627,place_00007,positive,train
wisata-v2_006687,place_00007,neutral,train
wisata-v2_006778,place_00142,positive,test
wisata-v2_006804,place_00135,neutral,validation
wisata-v2_006807,place_00080,positive,validation
wisata-v2_006848,place_00083,positive,test
wisata-v2_006862,place_00349,negative,validation
wisata-v2_006919,place_00349,negative,validation
wisata-v2_006970,place_00172,neutral,train
wisata-v2_007005,place_00172,neutral,train
wisata-v2_007013,place_00172,positive,train
wisata-v2_007021,place_00172,negative,train
wisata-v2_007026,place_00172,positive,train
wisata-v2_007037,place_00172,neutral,train
wisata-v2_007063,place_00172,neutral,train
wisata-v2_007064,place_00172,negative,train
wisata-v2_007070,place_00172,neutral,train
